設置點,Hour,populartimes_count
台灣大餅早午餐,18,0
台灣大餅早午餐,19,0
台灣大餅早午餐,20,0
台灣大餅早午餐,21,0
台灣大餅早午餐,22,0
台灣大餅早午餐,23,0
吳記沙拉船&好記蔬食鹽水雞,0,0
吳記沙拉船&好記蔬食鹽水雞,1,0
吳記沙拉船&好記蔬食鹽水雞,2,0
吳記沙拉船&好記蔬食鹽水雞,3,0
吳記沙拉船&好記蔬食鹽水雞,4,0
吳記沙拉船&好記蔬食鹽水雞,5,0
吳記沙拉船&好記蔬食鹽水雞,6,0
吳記沙拉船&好記蔬食鹽水雞,7,0
吳記沙拉船&好記蔬食鹽水雞,8,0
吳記沙拉船&好記蔬食鹽水雞,9,0
吳記沙拉船&好記蔬食鹽水雞,10,0
吳記沙拉船&好記蔬食鹽水雞,11,14
吳記沙拉船&好記蔬食鹽水雞,12,25
吳記沙拉船&好記蔬食鹽水雞,13,22
吳記沙拉船&好記蔬食鹽水雞,14,37
吳記沙拉船&好記蔬食鹽水雞,15,37
吳記沙拉船&好記蔬食鹽水雞,16,44
吳記沙拉船&好記蔬食鹽水雞,17,33
吳記沙拉船&好記蔬食鹽水雞,18,25
吳記沙拉船&好記蔬食鹽水雞,19,25
吳記沙拉船&好記蔬食鹽水雞,20,33
吳記沙拉船&好記蔬食鹽水雞,21,29
吳記沙拉船&好記蔬食鹽水雞,22,0
吳記沙拉船&好記蔬食鹽水雞,23,0
吹蚵仔的海鮮小吃,0,0
吹蚵仔的海鮮小吃,1,0
吹蚵仔的海鮮小吃,2,0
吹蚵仔的海鮮小吃,3,0
吹蚵仔的海鮮小吃,4,0
吹蚵仔的海鮮小吃,5,0
吹蚵仔的海鮮小吃,6,0
吹蚵仔的海鮮小吃,7,0
吹蚵仔的海鮮小吃,8,0
吹蚵仔的海鮮小吃,9,0
吹蚵仔的海鮮小吃,10,0
吹蚵仔的海鮮小吃,11,34
吹蚵仔的海鮮小吃,12,47
吹蚵仔的海鮮小吃,13,52
吹蚵仔的海鮮小吃,14,50
吹蚵仔的海鮮小吃,15,54
吹蚵仔的海鮮小吃,16,73
吹蚵仔的海鮮小吃,17,76
吹蚵仔的海鮮小吃,18,80
吹蚵仔的海鮮小吃,19,76
吹蚵仔的海鮮小吃,20,50
吹蚵仔的海鮮小吃,21,0
吹蚵仔的海鮮小吃,22,0
吹蚵仔的海鮮小吃,23,0
味真香新港鴨肉羹臭豆腐,0,90
味真香新港鴨肉羹臭豆腐,1,60
味真香新港鴨肉羹臭豆腐,2,0
味真香新港鴨肉羹臭豆腐,3,0
味真香新港鴨肉羹臭豆腐,4,0
味真香新港鴨肉羹臭豆腐,5,0
味真香新港鴨肉羹臭豆腐,6,0
味真香新港鴨肉羹臭豆腐,7,0
味真香新港鴨肉羹臭豆腐,8,0
味真香新港鴨肉羹臭豆腐,9,0
味真香新港鴨肉羹臭豆腐,10,0
味真香新港鴨肉羹臭豆腐,11,0
味真香新港鴨肉羹臭豆腐,12,0
味真香新港鴨肉羹臭豆腐,13,0
味真香新港鴨肉羹臭豆腐,14,0
味真香新港鴨肉羹臭豆腐,15,27
味真香新港鴨肉羹臭豆腐,16,40
味真香新港鴨肉羹臭豆腐,17,47
味真香新港鴨肉羹臭豆腐,18,50
味真香新港鴨肉羹臭豆腐,19,50
味真香新港鴨肉羹臭豆腐,20,50
味真香新港鴨肉羹臭豆腐,21,62
味真香新港鴨肉羹臭豆腐,22,65
味真香新港鴨肉羹臭豆腐,23,82
啤酒海時尚熱炒,0,19
啤酒海時尚熱炒,1,10
啤酒海時尚熱炒,2,0
啤酒海時尚熱炒,3,0
啤酒海時尚熱炒,4,0
啤酒海時尚熱炒,5,0
啤酒海時尚熱炒,6,0
啤酒海時尚熱炒,7,0
啤酒海時尚熱炒,8,0
啤酒海時尚熱炒,9,0
啤酒海時尚熱炒,10,0
啤酒海時尚熱炒,11,22
啤酒海時尚熱炒,12,29
啤酒海時尚熱炒,13,24
